City,State,Lat,Lng,Pop,
New York,New York,40.6943,-73.9249,18972871
Los Angeles,California,34.1141,-118.4068,12121244
Chicago,Illinois,41.8375,-87.6866,8595181
Miami,Florida,25.784,-80.2101,5711945
Dallas,Texas,32.7935,-96.7667,5668165
Houston,Texas,29.786,-95.3885,5650910
Philadelphia,Pennsylvania,40.0077,-75.1339,5512873
Atlanta,Georgia,33.7628,-84.422,5046555
Washington,District of Columbia,38.9047,-77.0163,4810669
Boston,Massachusetts,42.3188,-71.0852,4208580
Phoenix,Arizona,33.5722,-112.0892,4047095
Detroit,Michigan,42.3834,-83.1024,3522856
Seattle,Washington,47.6211,-122.3244,3438221
San Francisco,California,37.7558,-122.4449,3290197
San Diego,California,32.8313,-117.1222,3084174
Minneapolis,Minnesota,44.9635,-93.2678,2856952
Brooklyn,New York,40.6501,-73.9496,2736074
Tampa,Florida,27.9945,-82.4447,2683956
Denver,Colorado,39.762,-104.8758,2650725
Queens,New York,40.7498,-73.7976,2405464
Baltimore,Maryland,39.3051,-76.6144,2205092
Las Vegas,Nevada,36.2333,-115.2654,2150373
St. Louis,Missouri,38.6359,-90.2451,2092481
Portland,Oregon,45.5371,-122.65,2036875
Riverside,California,33.9381,-117.3949,2022285
Orlando,Florida,28.4773,-81.337,1927699
Sacramento,California,38.5677,-121.4685,1924167
San Juan,Puerto Rico,18.3985,-66.061,1915105
San Antonio,Texas,29.4632,-98.5238,1910785
San Jose,California,37.3012,-121.848,1729879
Pittsburgh,Pennsylvania,40.4397,-79.9763,1720279
Cincinnati,Ohio,39.1413,-84.506,1712287
Manhattan,New York,40.7834,-73.9662,1694263
Cleveland,Ohio,41.4764,-81.6805,1683059
Indianapolis,Indiana,39.7771,-86.1458,1659305
Austin,Texas,30.3005,-97.7522,1659251
Kansas City,Missouri,39.1238,-94.5541,1644497
Columbus,Ohio,39.9862,-82.9855,1556848
Charlotte,North Carolina,35.2083,-80.8303,1516107
Virginia Beach,Virginia,36.7335,-76.0435,1500764
Bronx,New York,40.8501,-73.8662,1472654
Milwaukee,Wisconsin,43.0642,-87.9675,1340981
Providence,Rhode Island,41.823,-71.4187,1270149
Jacksonville,Florida,30.3322,-81.6749,1220191
Salt Lake City,Utah,40.7776,-111.9311,1135344
Nashville,Tennessee,36.1715,-86.7842,1098486
Raleigh,North Carolina,35.8324,-78.6429,1062018
Memphis,Tennessee,35.1087,-89.9663,1034498
Louisville,Kentucky,38.1663,-85.6485,1022630
Richmond,Virginia,37.5295,-77.4756,1008069
Buffalo,New York,42.9018,-78.8487,1004655
Oklahoma City,Oklahoma,35.4676,-97.5136,994284
Bridgeport,Connecticut,41.1918,-73.1954,975078
New Orleans,Louisiana,30.0687,-89.9288,925443
Fort Worth,Texas,32.7817,-97.3474,908469
Hartford,Connecticut,41.7661,-72.6834,907046
Tucson,Arizona,32.1541,-110.8787,875284
Honolulu,Hawaii,21.3294,-157.846,835291
McAllen,Texas,26.2252,-98.2467,809002
Omaha,Nebraska,41.2627,-96.0529,806485
El Paso,Texas,31.8476,-106.43,794344
Albuquerque,New Mexico,35.1054,-106.6465,765693
Rochester,New York,43.168,-77.6162,737309
Sarasota,Florida,27.3387,-82.5432,727388
Fresno,California,36.783,-119.7939,719558
Tulsa,Oklahoma,36.1283,-95.9042,715983
Allentown,Pennsylvania,40.5961,-75.4756,714136
Dayton,Ohio,39.7805,-84.2003,709300
Birmingham,Alabama,33.5279,-86.7971,704676
Charleston,South Carolina,32.8168,-79.9687,685517
Cape Coral,Florida,26.6443,-81.9957,682773
Columbia,South Carolina,34.0378,-80.9036,640502
Concord,California,37.9722,-122.0016,640270
Colorado Springs,Colorado,38.8674,-104.7605,628808
Springfield,Massachusetts,42.1155,-72.5395,620494
Knoxville,Tennessee,35.9692,-83.9496,619925
Baton Rouge,Louisiana,30.442,-91.1311,610751
Ogden,Utah,41.2279,-111.9682,608259
Grand Rapids,Michigan,42.9619,-85.6562,604311
Albany,New York,42.6664,-73.7987,604077
Bakersfield,California,35.3529,-119.0359,590845
Mission Viejo,California,33.6096,-117.6551,588540
New Haven,Connecticut,41.3113,-72.9246,587648
Worcester,Massachusetts,42.2705,-71.8079,573573
Provo,Utah,40.2457,-111.6457,551645
Akron,Ohio,41.0798,-81.5219,546549
Palm Bay,Florida,27.9631,-80.6593,528322
Des Moines,Iowa,41.5725,-93.6105,514654
Murrieta,California,33.5719,-117.1909,509526
Mesa,Arizona,33.4015,-111.7178,497752
Staten Island,New York,40.5834,-74.1496,495747
Wichita,Kansas,37.6895,-97.3443,491916
Toledo,Ohio,41.6638,-83.5827,490832
Harrisburg,Pennsylvania,40.2752,-76.8843,472261
Port St. Lucie,Florida,27.2796,-80.3884,468979
Long Beach,California,33.7977,-118.167,466565
Reno,Nevada,39.5497,-119.8483,463328
Madison,Wisconsin,43.0822,-89.393,461778
Little Rock,Arkansas,34.7256,-92.3577,457379
Greenville,South Carolina,34.8354,-82.3646,450487
Denton,Texas,33.2175,-97.1418,445814
Spokane,Washington,47.6671,-117.433,440270
Oakland,California,37.7904,-122.2166,437548
Lancaster,Pennsylvania,40.042,-76.3012,430621
Poughkeepsie,New York,41.695,-73.9211,423386
Boise,Idaho,43.6005,-116.2308,422665
Winston-Salem,North Carolina,36.1029,-80.261,420400
Syracuse,New York,43.0407,-76.1437,418875
Augusta,Georgia,33.3645,-82.0708,409668
Stockton,California,37.9765,-121.3109,406822
Palm Coast,Florida,29.5389,-81.2457,403834
Chattanooga,Tennessee,35.066,-85.2481,403233
Kissimmee,Florida,28.3041,-81.4169,399929
Durham,North Carolina,35.9792,-78.9022,399762
Arlington,Texas,32.6998,-97.125,392304
Victorville,California,34.5277,-117.3536,389060
Aurora,Colorado,39.7083,-104.7237,383496
Modesto,California,37.6375,-121.0028,382994
Lancaster,California,34.6935,-118.1753,381732
Fayetteville,Arkansas,36.0714,-94.1661,381636
Scranton,Pennsylvania,41.4044,-75.6649,376974
Oxnard,California,34.1964,-119.1815,366330
Youngstown,Ohio,41.0993,-80.6463,363541
Indio,California,33.7346,-116.2346,361831
Pensacola,Florida,30.4413,-87.1911,360711
Anaheim,California,33.839,-117.8574,348204
Bonita Springs,Florida,26.3558,-81.7859,347581
Greensboro,North Carolina,36.0956,-79.8271,345270
Huntsville,Alabama,34.6981,-86.6412,339136
Corpus Christi,Texas,27.7254,-97.3767,333764
Fort Wayne,Indiana,41.0888,-85.1436,330305
Fayetteville,North Carolina,35.085,-78.9772,328827
Ann Arbor,Michigan,42.2759,-83.731,327814
Jackson,Mississippi,32.3157,-90.2125,326977
Antioch,California,37.9787,-121.796,322796
Mobile,Alabama,30.6782,-88.1162,322079
Lexington,Kentucky,38.0423,-84.4587,321354
Asheville,North Carolina,35.5707,-82.5537,316694
Trenton,New Jersey,40.2237,-74.7641,316436
Santa Rosa,California,38.4458,-122.7067,314196
Santa Ana,California,33.7367,-117.8819,313818
Lansing,Michigan,42.7142,-84.5601,312829
